amedas_id,station_id,fuken_id,access
20146,20,101,1
20186,20,103,1
20202,20,1409,1
20222,20,1410,1
20266,20,107,1
20276,20,109,1
20331,20,1405,1
20341,20,112,1
20356,20,113,1
20361,20,114,1
20371,20,1204,1
20421,20,115,1
20432,20,47417,1
20432,20,47417,1
20441,20,117,1
20451,20,1418,1
20506,20,118,1
20551,20,1510,1
20556,20,1286,1
20601,20,1210,1
20606,20,1211,1
20631,20,1214,1
20696,20,121,1
20751,20,47440,1
21031,21,123,1
21111,21,124,1
21126,21,125,1
21161,21,1067,1
21171,21,126,1
21187,21,47424,1
21226,21,128,1
21237,21,1329,1
21251,21,1429,1
21261,21,130,1
21276,21,131,1
21297,21,132,1
21312,21,134,1
21323,21,47423,1
22036,22,1202,1
22072,22,1097,1
22106,22,1430,1
22141,22,136,1
22156,22,137,1
22206,22,139,1
22241,22,140,1
22291,22,1198,1
22306,22,1288,1
22327,22,47426,1
22356,22,1276,1
22366,22,1264,1
22391,22,1340,1
23031,23,143,1
23086,23,144,1
23166,23,145,1
23191,23,146,1
23206,23,147,1
23226,23,148,1
23232,23,47430,1
23281,23,1462,1
23291,23,1543,1
23321,23,1552,1
23326,23,917,1
23356,23,1265,1
23376,23,152,1
24141,23,155,1
24041,24,153,1
24051,24,154,1
24101,24,1199,1
24156,24,1513,1
24166,24,156,1
24201,24,1200,1
24217,24,47428,1
24236,24,1205,1
31001,31,1041,1
31036,31,1559,1
31111,31,47576,1
31121,31,1122,1
31136,31,1026,1
31156,31,1124,1
31186,31,1119,1
31201,31,160,1
31296,31,164,1
31312,31,47575,1
31321,31,1042,1
31332,31,162,1
31336,31,1027,1
31366,31,163,1
31386,31,1495,1
31411,31,1183,1
31436,31,47574,1
31451,31,1108,1
31461,31,166,1
31466,31,167,1
31482,31,1079,1
31506,31,169,1
31551,31,174,1
31562,31,1406,1
31586,31,172,1
31602,31,47581,1
31602,31,47581,1
31646,31,175,1
31662,31,177,1
31671,31,1272,1
31721,31,179,1
32056,32,1043,1
32071,32,1273,1
32091,32,181,1
32096,32,1408,1
32111,32,183,1
32126,32,184,1
32136,32,912,1
32146,32,185,1
32181,32,1463,1
32206,32,186,1
32266,32,1289,1
32276,32,1422,1
32286,32,1036,1
32287,32,1035,1
32296,32,188,1
32311,32,1131,1
32312,32,1115,1
32376,32,1278,1
32402,32,47582,1
32407,32,192,1
32408,32,1425,1
32426,32,1167,1
32451,32,1511,1
32466,32,193,1
32476,32,194,1
32496,32,1050,1
32551,32,195,1
32571,32,196,1
32581,32,1117,1
32596,32,198,1
32616,32,199,1
32626,32,200,1
32681,32,1407,1
32691,32,202,1
32701,32,1109,1
32771,32,204,1
33006,33,205,1
33026,33,206,1
33071,33,207,1
33086,33,1037,1
33136,33,1219,1
33146,33,209,1
33166,33,1120,1
33176,33,1215,1
33186,33,211,1
33201,33,1332,1
33206,33,1123,1
33226,33,214,1
